SampleID,SampleType,Date,GeneralLoc,Latitude,Longitude,ResidentMi,Collector,Clusters,AreaCollar,Elevm
22,pellets,7/1/2014,Deer Creek,46.82410000000,-113.90193000000,Mig,"JMM, MB, EF",10,"34912, 34941",1525.55
23,pellets,7/1/2014,Burnt Fork,46.47472000000,-113.90409000000,Res,"CJ, TH",9,n/a,1790.30
24,pellets,7/14/2014,8 Mile Creek,46.67875000000,-113.83029000000,Mig,"JMM, MB",10,"34925, 34939",2076.31
25,pellets,7/14/2014,Deer Creek,46.82145000000,-113.90024000000,Mig,"TH, JS",12,"34912, 34923, 34938, 34941",1471.98
26,pellets,7/15/2014,Bolin Ranch,46.53970000000,-113.94130000000,Res,TH,13,"34904, 34918",1231.03
27,pellets,7/15/2014,Davis Creek,46.74208000000,-113.97933000000,Mig,TH,12,"34915, 34916, 34934, 34936",1336.52
28,pellets,7/30/2014,MPG sainfoin,46.70837000000,-114.03807000000,Res,TH,11,"34905, 34916, 34936",988.42
29,pellets,7/30/2014,Ski area,46.69172000000,-114.10612000000,Res,TH,10,"34906, 34914, 34919",1154.55
30,pellets,7/31/2014,Eightmile,46.66803000000,-113.95937000000,Res,TH,18,"34917, 34925, 34933",1274.77
31,pellets,7/31/2014,Davis Point,46.71269000000,-113.94581000000,Mig,CJ,18,"34921, 34928, 34932, 34934",1694.03
32,pellets,8/14/2014,MPG alfalfa,46.68590000000,-114.03638000000,Res,TH,13,"34915, 34916, 34921, 34928, 34932, 34934, 34936",1004.17
33,pellets,8/14/2014,Maclay/ski area,46.72954000000,-114.10205000000,Res,TH,15,"34906, 34919, 34935",1163.87
34,pellets,8/14/2014,Allen Creek,46.78749000000,-113.84583000000,Mig,CJ,10,NA,1719.55
35,pellets,8/15/2014,Eightmile,46.66786000000,-113.95663000000,Res,TH,20,"34917, 34925, 34933",1345.96
36,pellets,8/27/2014,Sawmill Creek,46.45443000000,-113.87969000000,Mig,CJ,9,"34903, 34907, 34913",1919.02
37,pellets,8/27/2014,MPG alfalfa,46.68645000000,-114.03596000000,Res,"TH, KP",6,"34905, 34915, 34916, 34921, 34928, 34932, 34934, 34936",1009.50
38,pellets,8/27/2014,Ski area,46.70657000000,-114.11369000000,Res,"TH, KP",15,"34906, 34914, 34919",1284.95
39,pellets,8/29/2014,Allen Creek,46.80849000000,-113.87782000000,Mig,CJ,15,34912,1832.26
40,pellets,9/10/2014,Burnt Fork,46.47142000000,-113.94802000000,Res,CJ,10,"34904, 34940",1279.39
41,pellets,9/11/2014,MPG,46.67010000000,-114.01886000000,Res,CJ,11,"34905, 34915, 34916, 34921, 34928, 34930, 34932",1057.63
42,pellets,9/12/2014,Ski area,46.69145000000,-114.12659000000,Res,TH,11,"34906, 34914, 34919",1605.13
43,pellets,9/12/2014,TNC/Buckboard,46.68916000000,-113.94900000000,Mig,TH,11,"34917, 34925",1548.04
44,pellets,9/25/2014,Burnt Fork - Alder Cr,46.46552000000,-113.84045000000,Mig,CJ,11,34929,2009.79
45,pellets,9/25/2014,Head of Allen Creek,46.76622000000,-113.83851000000,Mig,CJ,10,NA,1884.22
46,pellets,9/26/2014,Ski area,46.68860000000,-114.12859000000,Res,TH,12,34914,1659.19
47,pellets,9/26/2014,MPG,46.70620000000,-113.99543000000,Res,TH,13,"34916, 34928, 34930",1539.57
48,pellets,10/9/2014,Corley Gulch,46.44165000000,-113.93928000000,Res,CJ,10,34907,1543.54
49,pellets,10/9/2014,Allen Creek,46.77915000000,-113.82232000000,Mig,CJ,10,34920,1385.71
50,pellets,10/9/2014,River bottom (Sapphire Ranch),46.72793000000,-114.05669000000,Res,TH,5,"34905, 34915, 34916, 34921, 34930, 34932, 34934, 34936",963.70
51,pellets,10/10/2014,Ski area,46.68783000000,-114.11618000000,Res,TH,15,"34914, 34935",1343.18
